"csv_file_name","question_name","ï..id","questionusageid","slot","behaviour","questionid","variant","maxmark","minfraction","maxfraction","flagged","questionsummary","rightanswer","responsesummary","timemodified","questionattemptid","sequencenumber","state","fraction","timecreated","userid","firstname","lastname","username","attempt_number","group"
"../data-raw/study2/attempts_FarC2.csv","FarC2",1793926,54857,6,"deferredfeedback",30075,1,2,0,1,0,"\({\left[ \frac{1}{2\,n+3} , \mbox{Decreasing} , \mbox{Bounded} \right]}\)","Seed: 1885951117; ans1: ""Decreasing"" [score]; ans2: ""Bounded"" [score]; prt1: # = 1 | ATAlgEquiv_String | prt1-1-T; prt2: # = 1 | ATAlgEquiv_String | prt2-1-T","Seed: 1885951117; ans1: ""Decreasing"" [score]; ans2: ""Bounded"" [score]; prt1: # = 1 | ATAlgEquiv_String | prt1-1-T; prt2: # = 1 | ATAlgEquiv_String | prt2-1-T",1606144953,732114,2,"gradedright",1,1606144953,132,"anonfirstname10","anonlastname10","anon10",1,"Group CG"
"../data-raw/study2/attempts_FarC2.csv","FarC2",1795824,54925,6,"deferredfeedback",30075,3,2,0,1,0,"\({\left[ \frac{1}{4\,n+3} , \mbox{Decreasing} , \mbox{Bounded} \right]}\)","Seed: 409919109; ans1: ""Decreasing"" [score]; ans2: ""Bounded"" [score]; prt1: # = 1 | ATAlgEquiv_String | prt1-1-T; prt2: # = 1 | ATAlgEquiv_String | prt2-1-T","Seed: 409919109; ans1: ""Decreasing"" [score]; ans2: ""Bounded"" [score]; prt1: # = 1 | ATAlgEquiv_String | prt1-1-T; prt2: # = 1 | ATAlgEquiv_String | prt2-1-T",1606230589,732726,2,"gradedright",1,1606230589,222,"anonfirstname100","anonlastname100","anon100",1,"Group CG"
"../data-raw/study2/attempts_FarC2.csv","FarC2",1795853,54926,6,"deferredfeedback",30075,1,2,0,1,0,"\({\left[ \frac{1}{2\,n+3} , \mbox{Decreasing} , \mbox{Bounded} \right]}\)","Seed: 1885951117; ans1: ""Decreasing"" [score]; ans2: ""Bounded"" [score]; prt1: # = 1 | ATAlgEquiv_String | prt1-1-T; prt2: # = 1 | ATAlgEquiv_String | prt2-1-T","Seed: 1885951117; ans1: ""Decreasing"" [score]; ans2: ""Bounded"" [score]; prt1: # = 1 | ATAlgEquiv_String | prt1-1-T; prt2: # = 1 | ATAlgEquiv_String | prt2-1-T",1606230393,732735,2,"gradedright",1,1606230393,223,"anonfirstname101","anonlastname101","anon101",1,"Group GC"
"../data-raw/study2/attempts_FarC2.csv","FarC2",1795904,54928,6,"deferredfeedback",30075,2,2,0,1,0,"\({\left[ \frac{1}{4\,n+4} , \mbox{Decreasing} , \mbox{Bounded} \right]}\)","Seed: 1520351876; ans1: ""Decreasing"" [score]; ans2: ""Bounded"" [score]; prt1: # = 1 | ATAlgEquiv_String | prt1-1-T; prt2: # = 1 | ATAlgEquiv_String | prt2-1-T","Seed: 1520351876; ans1: ""Decreasing"" [score]; ans2: ""Bounded"" [score]; prt1: # = 1 | ATAlgEquiv_String | prt1-1-T; prt2: # = 1 | ATAlgEquiv_String | prt2-1-T",1606156693,732753,2,"gradedright",1,1606156692,227,"anonfirstname105","anonlastname105","anon105",1,"Group CG"
"../data-raw/study2/attempts_FarC2.csv","FarC2",1798675,55035,6,"deferredfeedback",30075,2,2,0,1,0,"\({\left[ \frac{1}{4\,n+4} , \mbox{Decreasing} , \mbox{Bounded} \right]}\)","Seed: 1520351876; ans1: ""Decreasing"" [score]; ans2: ""Bounded"" [score]; prt1: # = 1 | ATAlgEquiv_String | prt1-1-T; prt2: # = 1 | ATAlgEquiv_String | prt2-1-T","Seed: 1520351876; ans1: ""Decreasing"" [score]; ans2: ""Bounded"" [score]; prt1: # = 1 | ATAlgEquiv_String | prt1-1-T; prt2: # = 1 | ATAlgEquiv_String | prt2-1-T",1606332911,733656,2,"gradedright",1,1606332910,227,"anonfirstname105","anonlastname105","anon105",2,"Group CG"
"../data-raw/study2/attempts_FarC2.csv","FarC2",1795931,54929,6,"deferredfeedback",30075,5,2,0,1,0,"\({\left[ \frac{1}{3\,n+2} , \mbox{Decreasing} , \mbox{Bounded} \right]}\)","Seed: 1626017267; ans1: ""Decreasing"" [score]; ans2: ""Bounded"" [score]; prt1: # = 1 | ATAlgEquiv_String | prt1-1-T; prt2: # = 1 | ATAlgEquiv_String | prt2-1-T","Seed: 1626017267; ans1: ""Decreasing"" [score]; ans2: ""Bounded"" [score]; prt1: # = 1 | ATAlgEquiv_String | prt1-1-T; prt2: # = 1 | ATAlgEquiv_String | prt2-1-T",1605612168,732762,2,"gradedright",1,1605612168,230,"anonfirstname108","anonlastname108","anon108",1,"Group CG"
"../data-raw/study2/attempts_FarC2.csv","FarC2",1795958,54930,6,"deferredfeedback",30075,2,2,0,1,0,"\({\left[ \frac{1}{4\,n+4} , \mbox{Decreasing} , \mbox{Bounded} \right]}\)","Seed: 1520351876; ans1: ""Decreasing"" [score]; ans2: ""Bounded"" [score]; prt1: # = 1 | ATAlgEquiv_String | prt1-1-T; prt2: # = 1 | ATAlgEquiv_String | prt2-1-T","Seed: 1520351876; ans1: ""Decreasing"" [score]; ans2: ""Bounded"" [score]; prt1: # = 1 | ATAlgEquiv_String | prt1-1-T; prt2: # = 1 | ATAlgEquiv_String | prt2-1-T",1605889514,732771,2,"gradedright",1,1605889514,232,"anonfirstname110","anonlastname110","anon110",1,"Group GC"
"../data-raw/study2/attempts_FarC2.csv","FarC2",1796013,54932,6,"deferredfeedback",30075,4,2,0,1,0,"\({\left[ \frac{1}{4\,n+2} , \mbox{Decreasing} , \mbox{Bounded} \right]}\)","Seed: 1343654427; ans1: ""Decreasing"" [score]; ans2: ""Bounded"" [score]; prt1: # = 1 | ATAlgEquiv_String | prt1-1-T; prt2: # = 1 | ATAlgEquiv_String | prt2-1-T","Seed: 1343654427; ans1: ""Decreasing"" [score]; ans2: ""Bounded"" [score]; prt1: # = 1 | ATAlgEquiv_String | prt1-1-T; prt2: # = 1 | ATAlgEquiv_String | prt2-1-T",1606232493,732789,2,"gradedright",1,1606232493,235,"anonfirstname113","anonlastname113","anon113",1,"Group GC"
"../data-raw/study2/attempts_FarC2.csv","FarC2",1796043,54933,6,"deferredfeedback",30075,1,2,0,1,0,"\({\left[ \frac{1}{2\,n+3} , \mbox{Decreasing} , \mbox{Bounded} \right]}\)","Seed: 1885951117; ans1: ""Decreasing"" [score]; ans2: ""Bounded"" [score]; prt1: # = 1 | ATAlgEquiv_String | prt1-1-T; prt2: # = 1 | ATAlgEquiv_String | prt2-1-T","Seed: 1885951117; ans1: ""Decreasing"" [score]; ans2: ""Bounded"" [score]; prt1: # = 1 | ATAlgEquiv_String | prt1-1-T; prt2: # = 1 | ATAlgEquiv_String | prt2-1-T",1605969041,732798,2,"gradedright",1,1605969041,236,"anonfirstname114","anonlastname114","anon114",1,"Group CG"
"../data-raw/study2/attempts_FarC2.csv","FarC2",1796070,54934,6,"deferredfeedback",30075,3,2,0,1,0,"\({\left[ \frac{1}{4\,n+3} , \mbox{Decreasing} , \mbox{Bounded} \right]}\)","Seed: 409919109; ans1: ""Decreasing"" [score]; ans2: ""Bounded"" [score]; prt1: # = 1 | ATAlgEquiv_String | prt1-1-T; prt2: # = 1 | ATAlgEquiv_String | prt2-1-T","Seed: 409919109; ans1: ""Decreasing"" [score]; ans2: ""Bounded"" [score]; prt1: # = 1 | ATAlgEquiv_String | prt1-1-T; prt2: # = 1 | ATAlgEquiv_String | prt2-1-T",1606226120,732807,2,"gradedright",1,1606226120,237,"anonfirstname115","anonlastname115","anon115",1,"Group GC"
"../data-raw/study2/attempts_FarC2.csv","FarC2",1796097,54935,6,"deferredfeedback",30075,1,2,0,1,0,"\({\left[ \frac{1}{2\,n+3} , \mbox{Decreasing} , \mbox{Bounded} \right]}\)","Seed: 1885951117; ans1: ""Decreasing"" [score]; ans2: ""Bounded"" [score]; prt1: # = 1 | ATAlgEquiv_String | prt1-1-T; prt2: # = 1 | ATAlgEquiv_String | prt2-1-T","Seed: 1885951117; ans1: ""Decreasing"" [score]; ans2: ""Bounded"" [score]; prt1: # = 1 | ATAlgEquiv_String | prt1-1-T; prt2: # = 1 | ATAlgEquiv_String | prt2-1-T",1606228601,732816,2,"gradedright",1,1606228600,238,"anonfirstname116","anonlastname116","anon116",1,"Group CG"
